ID,Name,Team,Number,Birth Year,Birth Month,Birth Day,Position,Pitching Hand,Underhand,Batting Hand,Height (cm),Weight (kg),Career,Contract Payment,Payment Unit,Salary,Salary Unit,Draft Year,Draft Team,Draft Detail,Joined Year,Joined Team,Data Errors
70608,양현석,LG 트윈스,28.0,1977.0,10.0,20.0,Outfielder,Left,False,Left,180.0,82.0,청원정보고-경희대-해태-SK,5000.0,만원,4400.0,만원,,,,0.0,해태,"Draft (18, 19, 20):    "
70612,김상훈,KIA 타이거즈,71.0,1977.0,10.0,27.0,,Right,False,Right,180.0,92.0,광주중앙초-충장중-광주제일고-고려대-해태-KIA,,,7500.0,만원,96.0,해태,2차우선,0.0,해태,"Contract Payment (14, 15):    "
70615,강영식,롯데 자이언츠,78.0,1981.0,6.0,17.0,,Left,False,Left,189.0,100.0,칠성초-경복중-대구상원고-해태-삼성-롯데,,,4500.0,만원,0.0,해태,2차 2라운드 10순위,0.0,해태,"Contract Payment (14, 15):    "
70625,조홍준,해태 타이거즈,25.0,1977.0,4.0,27.0,Infielder,Right,False,Right,186.0,96.0,광주상고-중앙대,3000.0,만원,2000.0,만원,,,,0.0,해태,"Draft (18, 19, 20):    "
70626,홍세완,KIA 타이거즈,70.0,1978.0,1.0,16.0,,Right,False,Right,183.0,85.0,구로남초-서울경원중-장충고-성균관대-해태-KIA,,,9000.0,만원,,,,0.0,해태,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
70630,최영완,KIA 타이거즈,68.0,1976.0,5.0,3.0,Pitcher,Left,False,Left,184.0,83.0,유신고-경희대-해태,4000.0,만원,1900.0,만원,,,,0.0,해태,"Draft (18, 19, 20):    "
70640,포조,해태 타이거즈,4.0,1973.0,8.0,24.0,Infielder,Right,False,Right,,,도미니카 프라그라노배인고,,,,,0.0,해태,자유선발,0.0,해태,"Body (11, 12): cm/kg   Contract Payment (14, 15):    Salary (16, 17):    "
70641,타바레스,KIA 타이거즈,40.0,1971.0,3.0,26.0,Outfielder,Right,False,양타,183.0,77.0,도미니카 에밀리오 히메네스고,15000.0,달러,,,0.0,해태,자유선발,0.0,해태,"Salary (16, 17): 6만달러   "
70643,배스,해태 타이거즈,43.0,1974.0,6.0,22.0,Outfielder,Left,False,Left,,,미국 오데아고,,,,,0.0,해태,자유선발,0.0,해태,"Body (11, 12): cm/kg   Contract Payment (14, 15):    Salary (16, 17):    "
70644,미첼,해태 타이거즈,44.0,1969.0,8.0,6.0,Outfielder,Right,False,Right,178.0,82.0,미국 링컨고,,,,,0.0,해태,자유선발,0.0,해태,"Contract Payment (14, 15):    Salary (16, 17): 10만달러   "
70646,김상현,KT 위즈,19.0,1980.0,11.0,12.0,Outfielder,Right,False,Right,190.0,95.0,군산초-군산남중-군산상고-(대불대)-해태-KIA-LG-상무-LG-KIA-SK,,,20000.0,만원,0.0,해태,2차 6라운드 42순위,1.0,KIA,"Contract Payment (14, 15):    "
70648,김원일,KIA 타이거즈,69.0,1981.0,3.0,4.0,Pitcher,Right,False,Right,186.0,75.0,군산상고-해태,,,1500.0,만원,,,,0.0,해태,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
70649,최길성,SK 와이번스,34.0,1978.0,2.0,6.0,Infielder,Right,False,Right,186.0,95.0,중대초-배재중-배재고-연세대-해태-LG-롯데-SK,2000.0,만원,3300.0,만원,,,,0.0,해태,"Draft (18, 19, 20):    "
70655,윤형진,KIA 타이거즈,66.0,1977.0,9.0,13.0,Pitcher,Right,False,Right,183.0,86.0,서화초-대헌중-인천고-건국대-해태,,,2200.0,만원,,,,0.0,해태,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
70706,최동연,한화 이글스,66.0,1979.0,9.0,30.0,Infielder,Right,False,Right,178.0,78.0,대전고-상무,,,1500.0,만원,,,,0.0,한화,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
70719,김장백,한화 이글스,24.0,1975.0,9.0,23.0,Pitcher,Right,False,Right,182.0,85.0,서울고-연세대-상무,20000.0,만원,2100.0,만원,,,,0.0,한화,"Draft (18, 19, 20):    "
70723,조윤채,한화 이글스,8.0,1977.0,8.0,10.0,Outfielder,Right,False,Right,183.0,82.0,광주제일고-동국대,2000.0,만원,2200.0,만원,,,,0.0,한화,"Draft (18, 19, 20):    "
